x,y
0.569185,-0.831715
0.574272,-0.828109
0.579337,-0.824472
0.58438,-0.820803
0.589401,-0.817103
0.594399,-0.813372
0.599375,-0.80961
0.604327,-0.805817
0.609257,-0.801994
0.614164,-0.79814
0.619047,-0.794255
0.623907,-0.790341
0.628743,-0.786396
0.633555,-0.782421
0.638343,-0.778417
0.643106,-0.774382
0.647845,-0.770319
0.652559,-0.766225
0.657249,-0.762103
0.661913,-0.757952
0.666552,-0.753771
0.671165,-0.749562
0.675753,-0.745324
0.680315,-0.741058
0.684851,-0.736763
0.689361,-0.73244
0.693845,-0.72809
0.698302,-0.723711
0.702732,-0.719305
0.707135,-0.714871
0.711512,-0.71041
0.715861,-0.705921
0.720183,-0.701406
0.724477,-0.696864
0.728743,-0.692295
0.732982,-0.687699
0.737192,-0.683078
0.741374,-0.67843
0.745528,-0.673756
0.749653,-0.669056
0.75375,-0.664331
0.757817,-0.65958
0.761856,-0.654803
0.765865,-0.650002
0.769845,-0.645176
0.773795,-0.640325
0.777716,-0.635449
0.781606,-0.630549
0.785467,-0.625625
0.789297,-0.620676
0.793098,-0.615704
0.796867,-0.610708
0.800606,-0.605689
0.804315,-0.600647
0.807992,-0.595581
0.811638,-0.590492
0.815253,-0.585381
0.818837,-0.580247
0.822389,-0.575091
0.82591,-0.569913
0.829399,-0.564713
0.832855,-0.559491
0.83628,-0.554247
0.839673,-0.548982
0.843033,-0.543696
0.84636,-0.538389
0.849656,-0.533062
0.852918,-0.527713
0.856147,-0.522345
0.859344,-0.516956
0.862507,-0.511547
0.865637,-0.506119
0.868734,-0.500671
0.871797,-0.495204
0.874826,-0.489718
0.877822,-0.484212
0.880784,-0.478688
0.883712,-0.473146
0.886605,-0.467585
0.889465,-0.462006
0.89229,-0.45641
0.89508,-0.450796
0.897836,-0.445164
0.900558,-0.439515
0.903244,-0.433849
0.905896,-0.428167
0.908512,-0.422467
0.911094,-0.416752
0.91364,-0.41102
0.916151,-0.405273
0.918626,-0.399509
0.921066,-0.393731
0.92347,-0.387937
0.925839,-0.382128
0.928171,-0.376304
0.930468,-0.370466
0.932728,-0.364613
0.934953,-0.358746
0.937141,-0.352866
0.939293,-0.346972
0.941409,-0.341064
0.943488,-0.335143
0.945531,-0.329209
0.947537,-0.323262
0.949506,-0.317303
0.951438,-0.311331
0.953334,-0.305348
0.955193,-0.299352
0.957014,-0.293345
0.958798,-0.287327
0.960546,-0.281297
0.962256,-0.275257
0.963928,-0.269205
0.965564,-0.263144
0.967161,-0.257072
0.968722,-0.25099
0.970244,-0.244899
0.971729,-0.238798
0.973176,-0.232687
0.974586,-0.226568
0.975958,-0.22044
0.977291,-0.214303
0.978587,-0.208158
0.979845,-0.202005
0.981065,-0.195844
0.982246,-0.189675
